,docid,title,year,genres,languages,countries,directors,composers,cast,editors,keywords,writers,plot
553,003615,20 Mississippi,2009,Drama,English,USA,"Brettler, Michael",,"[{'actor': 'Baron, David (VIII)', 'role': 'Soldier'}, {'actor': 'Chin, Ian (II)', 'role': 'Fend'}, {'actor': 'Gargaro, Jack', 'role': 'Preacher'}, {'actor': 'Godwaldt, Tiemen', 'role': 'Franklin'}, {'actor': 'Howden, Spenser', 'role': 'Earnest'}, {'actor': 'LaSalle, Kirk', 'role': 'Dr. Hoover'}, {'actor': 'Lindsay, Kellyn', 'role': 'Colleen'}]","Brettler, Michael","['count', 'fictional-war', 'camcorder', 'mississippi', 'war-game', 'death', 'children', 'reenactment', 'afterlife']","Brettler, Michael",earnest meant everything colleen older brother teacher friend earnest dead remains burnt remnant bloodied right arm found amidst pointless war desert far away year later armed camcorder band quirky friend colleen attempt number 418 recreating think brother may died see experience colleen feel like shes running time find thing outmake attempt number 419 earnest meant everything colleen older brother teacher friend earnest dead remains burnt remnant bloodied right arm found amidst pointless war desert far away year later armed camcorder band quirky friend colleen attempt number 418 recreating think brother may died see experience colleen feel like shes running time find thing outmake attempt number 419
554,003619,20 Mule Team,1940,Western,English,USA,"Thorpe, Richard (I)","Snell, David (I)","[{'actor': 'Appel, Sam', 'role': 'Proprietor'}, {'actor': 'Baxter, Anne', 'role': 'Joan Johnson'}, {'actor': 'Beck, John (I)', 'role': 'Jeff, Worker Asking for Pay'}, {'actor': 'Beery Jr., Noah', 'role': 'Mitch'}, {'actor': 'Beery, Wallace', 'role': 'Skinner Bill Bragg, an Alias of Ambrose Murphy'}, {'actor': 'Bell, Hank', 'role': ""First Barfly Counting Bill's Money""}, {'actor': 'Bernard, Joseph E.', 'role': ""Second Barfly Counting Bill's money""}, {'actor': 'Bevans, Clem', 'role': 'Chuckawalla'}, {'actor': 'Borden, Eddie', 'role': ""Fifth Barfly Counting Bill's Money""}, {'actor': 'Brady, Ed (III)', 'role': 'Barfly at Table'}, {'actor': 'Carrillo, Leo', 'role': 'Piute Pete'}, {'actor': 'Churchill, Berton', 'role': ""'Jackass' Brown""}, {'actor': 'Fowley, Douglas', 'role': 'Stag Roper'}, {'actor': 'Guhl, George', 'role': 'Doorman'}, {'actor': 'Halton, Charles', 'role': 'Henry Adams'}, {'actor': 'Hohl, Arthur', 'role': 'Salters'}, {'actor': 'Ingraham, Lloyd (I)', 'role': 'Stockholder'}, {'actor': 'Kelly, Lew', 'role': '1st Man'}, {'actor': 'Kenworthy, Katherine', 'role': ""Jeff's Wife""}, {'actor': 'Lewis, Mitchell (I)', 'role': 'Barfly at Bar'}, {'actor': 'Mason, Jim (I)', 'role': ""Third Barfly Counting Bill's Money""}, {'actor': 'McGrath, Larry', 'role': 'Man Pointing Out Where Pete Is'}, {'actor': 'Miller, Ivan', 'role': 'Alden'}, {'actor': ""O'Shea, Oscar"", 'role': 'Train Conductor'}, {'actor': 'Perry, Bob (I)', 'role': 'Townsman at Pay Window'}, {'actor': 'Sherwood, C.L.', 'role': 'Barfly at Table'}, {'actor': 'Sylvester, Henry', 'role': 'Himself'}, {'actor': 'Waller, Eddy', 'role': 'Horsecollar, the Bartender'}, {'actor': 'Watson, Minor', 'role': 'Marshal'}, {'actor': 'Wing, Ward', 'role': 'Himself'}]","Sullivan, Frank (I)","['blackmail', 'mule', 'claim-jumper', 'mother-daughter-relationship', 'marshal', 'mining', 'death-valley-california', 'shootout', 'borax', 'piute-indian', 'bank-president', 'revenge', 'train', 'number-in-title', 'murder', 'prospector', 'fugitive', 'gunshot-wound']","['Atkinson, Owen', 'DuSoe, Robert C.', 'Hume, Cyril', 'Maibaum, Richard', 'Paramore Jr., Edward E.']",1892 death valley yield borax ore getting small refining losing proposition thing save company new deposit high grade borax bill pouch got dead prospector buried road roper know value strike could worth million need bill find prospector claim record become rich partner roper intention cutting bill million also eye young jean josie see roper scalawag mean trouble furnace flat 1892 death valley yield borax ore getting small refining losing proposition thing save company new deposit high grade borax bill pouch got dead prospector buried road roper know value strike could worth million need bill find prospector claim record become rich partner roper intention cutting bill million also eye young jean josie see roper scalawag mean trouble furnace flat
555,003625,20 Something,2006,Comedy,English,USA,"Jeraci, Antonio",,"[{'actor': 'Ali, Ahmed (III)', 'role': 'Deli Customer'}, {'actor': 'Anci, Matthew', 'role': 'Paul'}, {'actor': 'Arrecis, Erika', 'role': 'Happy Diner Girl'}, {'actor': 'Celi, Salvatore', 'role': ""Old Man Winter/Rocco 'the Blood Hound'""}, {'actor': 'Coluccio, Domenico', 'role': 'Wiffle Ball Kid #1'}, {'actor': ""D'Amato, Christina"", 'role': 'Maria'}, {'actor': ""D'Amato, Robert J."", 'role': 'Frank'}, {'actor': 'Delgado, Camille', 'role': 'Deli Girl'}, {'actor': 'Evans, Carey (I)', 'role': 'Loretta'}, {'actor': 'Fazzolari, Rocco', 'role': 'Vinny'}, {'actor': 'Gill, David (VI)', 'role': 'Oblivious UPS Customer'}, {'actor': 'Gonzalez, Normalinda', 'role': 'Samantha'}, {'actor': 'Gordon, David Jay', 'role': 'Random Guy'}, {'actor': 'Gordon, Lucas', 'role': 'Michael Jr.'}, {'actor': 'Gordon, Roger', 'role': 'Happy Diner Guy'}, {'actor': 'Goren, Jeremy', 'role': 'John'}, {'actor': 'Hilson, Joshua', 'role': 'Infomercial Narrator'}, {'actor': 'Jeraci, Antonio', 'role': 'Josh'}, {'actor': 'Jeraci, Jennifer', 'role': 'Girl Waving #1'}, {'actor': 'Jeraci, Nicholas', 'role': 'Wiffle Ball Kid #2'}, {'actor': 'Kanke, Summer', 'role': 'Girl with Attitude'}, {'actor': 'Madonia, Katie', 'role': 'Girl Waving #2'}, {'actor': 'Marques, Daniel (IV)', 'role': 'UPS Bubble Wrap Guy'}, {'actor': 'McGarvey, Linda', 'role': 'Angry Diner Girl'}, {'actor': 'McGarvey, Lucas', 'role': 'Wiffle Ball Kid #3'}, {'actor': 'Menotti, Anita', 'role': 'Nadia'}, {'actor': 'Nescot, Ed', 'role': 'Diner Patron'}, {'actor': 'Peralta, Rick', 'role': 'UPS Clerk'}, {'actor': 'Pugliese, Salvatore', 'role': 'Artie'}, {'actor': 'Ruvolo, Robert', 'role': 'Rob'}, {'actor': 'Santacroce, Glen', 'role': 'Angry Diner Guy'}, {'actor': 'Whitney, Jonathan', 'role': 'Mr. Crappy Pants'}]","Haigis, Jack","['friendship', 'independent-film', 'love']","Jeraci, Antonio",john dolen wholesome credulous young man moving london order resolve quarterlife crisis today john learned certain married woman may pregnant child thinking may fate call upon assistance two steadfast roommate paul reformed womanizer yearns true love cannot overcome fear commitment rob potsmoking entrepreneurial slob devoted life revealing atrocity set forth corporate manipulation importantly safeguard existence one special couch time youth essence unsettled trio must move apartment confronting affliction love lust pregnancy couch wiffleball exmobsters corporate propaganda four year theory gazelle transsexual metrosexuals shoddy landlord universal diner monte cristo john dolen wholesome credulous young man moving london order resolve quarterlife crisis today john learned certain married woman may pregnant child thinking may fate call upon assistance two steadfast roommate paul reformed womanizer yearns true love cannot overcome fear commitment rob potsmoking entrepreneurial slob devoted life revealing atrocity set forth corporate manipulation importantly safeguard existence one special couch time youth essence unsettled trio must move apartment confronting affliction love lust pregnancy couch wiffleball exmobsters corporate propaganda four year theory gazelle transsexual metrosexuals shoddy landlord universal diner monte cristo
556,003632,20 Wheels to Memphis,2009,Documentary,English,USA,"Grimshaw, John",,,"Grimshaw, John","['memphis', 'roadtrip', 'women', 'motorcycle', 'motorcycles']",,jett ford female harley rider lifelong dream visiting home hero elvis along motorcycle club girlz graceland embark 4000 mile roundtrip journey san diego memphis motorcycle diverse group woman firefighter cancer patient straight gay white collar blue collar share friendship sisterhood living life term come together enjoy common bond road 20 wheel memphis document journey girlz graceland ride desert heat thunderstorm motorcycle breakdown make way memphis woman joy ride spending month preparing crosscountry adventure girlz collected donation money present presley place charity memphis assist homeless povertystricken family make way san diego memphis encounter curious local intrigued freespirit friendship humanity courageous woman inspirational story demonstrates diversity individuality bring u together celebrate common humanity compassion discover positive thing life others jett ford female harley rider lifelong dream visiting home hero elvis along motorcycle club girlz graceland embark 4000 mile roundtrip journey san diego memphis motorcycle diverse group woman firefighter cancer patient straight gay white collar blue collar share friendship sisterhood living life term come together enjoy common bond road 20 wheel memphis document journey girlz graceland ride desert heat thunderstorm motorcycle breakdown make way memphis woman joy ride spending month preparing crosscountry adventure girlz collected donation money present presley place charity memphis assist homeless povertystricken family make way san diego memphis encounter curious local intrigued freespirit friendship humanity courageous woman inspirational story demonstrates diversity individuality bring u together celebrate common humanity compassion discover positive thing life others
557,003633,20 Years After,2008,"['Fantasy', 'Drama', 'Sci-Fi']",English,USA,"Torres, Jim (II)","['Heitzenrater, John', 'Johnson, Chris (XXXI)']","[{'actor': 'Baesel, Nathan', 'role': 'David'}, {'actor': 'Beene, Dan', 'role': 'Quincy'}, {'actor': 'Cathey, Reg E.', 'role': 'Samuel'}, {'actor': 'Duke, Deborah', 'role': 'Mrs. Coday'}, {'actor': 'Eubanks, Shannon (I)', 'role': 'Ms. Mynard'}, {'actor': 'Hendry, Aaron', 'role': 'Pierre'}, {'actor': 'Khadijah', 'role': 'Delinda'}, {'actor': 'Leonard, Joshua', 'role': 'Michael'}, {'actor': 'Malika (II)', 'role': 'Dilcy'}, {'actor': 'Parker, Phil (VI)', 'role': 'Harvey'}, {'actor': 'Roden, Graham', 'role': 'Allen'}, {'actor': 'Talbert, Charlie', 'role': 'Janus'}]","Torres, Jim (II)","['post-apocalyptic', 'mother-daughter-relationship', ""ventriloquist's-dummy"", 'independent-film', 'time-in-title', 'based-on-play', 'huntsville-alabama', 'number-in-title']","['Harris, Ron (I)', 'Torres, Jim (II)']",everything could go wrong go wrong war terrorism natural disaster evacuee ushered city refugee camp surrounding county infighting famine disease took toll survivor twenty year bomb fell plague ran course remain live fear without hope azura skye star sarah postapocalyptic fairy tale young woman journey deliver first child born 15 year sarah refusal give inspired lone voice radio michael broadcast dim distant message hope mixed music scavenges dead forced basement home drought relentlessly pursued want baby sarah cross path michael cavernous underground refuge disparate survivor three cave michael sarah embark journey beyond boundary southern corridor unknown future everything could go wrong go wrong war terrorism natural disaster evacuee ushered city refugee camp surrounding county infighting famine disease took toll survivor twenty year bomb fell plague ran course remain live fear without hope azura skye star sarah postapocalyptic fairy tale young woman journey deliver first child born 15 year sarah refusal give inspired lone voice radio michael broadcast dim distant message hope mixed music scavenges dead forced basement home drought relentlessly pursued want baby sarah cross path michael cavernous underground refuge disparate survivor three cave michael sarah embark journey beyond boundary southern corridor unknown future
558,003634,20 Years After: A Woodstock Reunion,1989,Music,English,USA,"Katz, Jim (III)",,"[{'actor': 'Blood Sweat &amp; Tears', 'role': 'Themselves'}, {'actor': 'Canned Heat', 'role': 'Themselves'}, {'actor': 'Chambers Brothers, The', 'role': 'Themselves'}, {'actor': 'Davis, Spencer (IV)', 'role': 'Himself'}, {'actor': 'Group, Spencer Davis', 'role': 'Themselves'}, {'actor': 'Humble Pie', 'role': 'Themselves'}, {'actor': 'Iron Butterfly', 'role': 'Themselves'}, {'actor': ""It's a Beautiful Day"", 'role': 'Themselves'}, {'actor': 'Leary, Timothy', 'role': 'Himself'}, {'actor': 'McDonald, Country Joe', 'role': 'Himself'}, {'actor': 'Melanie (IV)', 'role': 'Herself'}, {'actor': 'Miles, Buddy', 'role': 'Himself'}, {'actor': 'Russell, Leon', 'role': 'Himself'}, {'actor': 'Winter, Edgar', 'role': 'Himself'}]",,number-in-title,,nearly twenty year original woodstock music festival biggest name rock brought back recapture mood sound historic event led psychedelic tour guide dr timothy leary come immersed sight sound music woodstock era includes performance melanie mark farner grand funk railroad blood sweat tear canned heat humble pie nearly twenty year original woodstock music festival biggest name rock brought back recapture mood sound historic event led psychedelic tour guide dr timothy leary come immersed sight sound music woodstock era includes performance melanie mark farner grand funk railroad blood sweat tear canned heat humble pie
559,003660,20 de diciembre,2003,Documentary,Spanish,Argentina,,,,,"['crash', 'repression', 'democracy']","Turner, Alejandro",documentary tell happened december 20th 2001 date marked turning point argentine democracy fact precipitated vertiginously day people decided something change started banging saucepan spontaneous march ended blood december 20th tell happened day street left home repression got started murdered people killed documentary crossed three plot line previous atmosphere critical 24 hour consequence documentary tell happened december 20th 2001 date marked turning point argentine democracy fact precipitated vertiginously day people decided something change started banging saucepan spontaneous march ended blood december 20th tell happened day street left home repression got started murdered people killed documentary crossed three plot line previous atmosphere critical 24 hour consequence
560,003664,20 gynaikes ki ego!,1973,Comedy,Greek,Greece,"Dalianidis, Giannis","Plessas, Mimis","[{'actor': 'Bourlou, Katerina', 'role': 'Herself'}, {'actor': 'Dogani, Eirini', 'role': 'Herself'}, {'actor': 'Georgopoulou, Elda', 'role': 'Herself'}, {'actor': 'Gounari, Anthi', 'role': 'Herself'}, {'actor': 'Ibrohori, Kaiti', 'role': 'Haris'}, {'actor': 'Ioannidou, Rania', 'role': 'Herself'}, {'actor': 'Kariori, Hrysi', 'role': 'Herself'}, {'actor': 'Kokkinou, Nikol', 'role': 'Tzela'}, {'actor': 'Koliandri, Mania', 'role': 'Herself'}, {'actor': 'Lenossi, Lydia', 'role': 'Rika'}, {'actor': 'Livanou, Betty', 'role': 'Betty'}, {'actor': 'Markogianni, Eirini', 'role': 'Herself'}, {'actor': 'Mavromati, Eleni', 'role': 'Fanouria'}, {'actor': 'Mavropoulou, Gelly', 'role': 'Herself'}, {'actor': 'Metallidou, Anna', 'role': 'Herself'}, {'actor': 'Metaxa, Mary', 'role': 'Domna'}, {'actor': 'Voutsas, Kostas', 'role': 'Kostas Filippou'}]","Lykas, Petros",based-on-play,"Dalianidis, Giannis",bunch woman dominates kostas filipous life mother smaro three sister married rika want take divorce religious fanouria tzela student last two get married also woman work woman lingerie business run many see potential husband well betty colleague deeply love whose mother pressure get married kostas secretly marries betty rent mother apartment smaro decides find mate suggests betty neighborhood electrician kostas find way break match kostas young woman veroia betty manages break match revelation couple marriage relief everyone fact betty pregnant brings desired peace serenity bunch woman dominates kostas filipous life mother smaro three sister married rika want take divorce religious fanouria tzela student last two get married also woman work woman lingerie business run many see potential husband well betty colleague deeply love whose mother pressure get married kostas secretly marries betty rent mother apartment smaro decides find mate suggests betty neighborhood electrician kostas find way break match kostas young woman veroia betty manages break match revelation couple marriage relief everyone fact betty pregnant brings desired peace serenity
561,003676,20 plus,1995,Drama,,Netherlands,"Nechushtan, Dana",,"[{'actor': 'Corton, Eric', 'role': 'Mark'}, {'actor': 'Ribbens, Franky', 'role': 'Steve'}, {'actor': 'Wageningen, Yorick van', 'role': 'Julian'}]",,"['gay-interest', 'friendship', 'homosexual', 'dream', 'number-in-title']",,drama six friend twenty known since secondary school meet weekly local bar talk love sex career future relationship drama six friend twenty known since secondary school meet weekly local bar talk love sex career future relationship
562,003686,20% Off,2009,"['Comedy', 'Short']",English,USA,"Redish, Chris","Bagby, Larry","[{'actor': 'Allen, Jacqui (II)', 'role': 'Emily'}, {'actor': 'Bagby, Larry', 'role': 'Jack'}, {'actor': 'Irene, Cristen', 'role': 'Daisy'}, {'actor': 'Krimitsos, Eleni C.', 'role': 'Julie'}, {'actor': 'Nichols, Tim (I)', 'role': 'Simon'}, {'actor': 'Reign, Vince', 'role': 'Alex'}]","Redish, Chris",bargain-hunter,"Redish, Chris",compulsive bargain hunter who life filled cheap crap something wrong join dating agency cant resist bargain date something wrong overcome compulsive cheapness help find true love compulsive bargain hunter who life filled cheap crap something wrong join dating agency cant resist bargain date something wrong overcome compulsive cheapness help find true love
563,003688,"20,000 Cheers for the Chain Gang",1933,"['Comedy', 'Short', 'Musical']",English,USA,"Mack, Roy",,"[{'actor': 'Baskett, James', 'role': 'Himself'}, {'actor': 'Bergen, Jerry', 'role': 'Jerry'}, {'actor': 'Rollickers, The', 'role': 'Themselves'}, {'actor': 'Shannon, Harry (I)', 'role': 'Himself'}]",,"['prison', 'chain-gang', 'number-in-title']","['Otvos, A. Dorian', 'Wood, Cyrus']",four convict escape chain gang shortly thereafter change made prison blue ribbon commission investigating condition change include steak every day dinner stage show entertainment reading four escapee plead warden take back dream four convict escape chain gang shortly thereafter change made prison blue ribbon commission investigating condition change include steak every day dinner stage show entertainment reading four escapee plead warden take back dream
564,003692,"20,000 Leagues Under the Sea",1905,"['Short', 'Sci-Fi']",English,USA,"McCutcheon, Wallace",,,,,"Verne, Jules",story begin 1866 mysterious sea monster sighted ship several nation ocean liner also damaged creature united state government finally assembles expedition new york city track destroy menace professor pierre aronnax noted french marine biologist narrator story happens new york time recognized expert field issued lastminute invitation join expedition accepts canadian master harpoonist ned land aronnaxs faithful assistant conseil also brought board expedition set sail brooklyn aboard naval ship abraham lincoln travel around tip south america pacific ocean much fruitless searching monster found ship charge battle fight ship steering damaged three thrown overboard find stranded hide creature discover surprise large metal construct quickly captured brought inside vessel meet enigmatic creator commander captain nemo rest story follows adventure men aboard submarine nautilus built secrecy roams sea free landbased government story begin 1866 mysterious sea monster sighted ship several nation ocean liner also damaged creature united state government finally assembles expedition new york city track destroy menace professor pierre aronnax noted french marine biologist narrator story happens new york time recognized expert field issued lastminute invitation join expedition accepts canadian master harpoonist ned land aronnaxs faithful assistant conseil also brought board expedition set sail brooklyn aboard naval ship abraham lincoln travel around tip south america pacific ocean much fruitless searching monster found ship charge battle fight ship steering damaged three thrown overboard find stranded hide creature discover surprise large metal construct quickly captured brought inside vessel meet enigmatic creator commander captain nemo rest story follows adventure men aboard submarine nautilus built secrecy roams sea free landbased government
565,003693,"20,000 Leagues Under the Sea",1916,"['Action', 'Adventure', 'Sci-Fi']",English,USA,"Paton, Stuart",,"[{'actor': 'Alexander, Lois', 'role': ""Prince Daaker's daughter as a child""}, {'actor': 'Benton, Curtis', 'role': 'Ned Land'}, {'actor': 'Clarke, Wallace', 'role': 'Pencroft'}, {'actor': 'Crampton, Howard', 'role': 'Cyrus Harding'}, {'actor': 'Gail, Jane', 'role': 'A Child of Nature'}, {'actor': 'Girard, Joseph W.', 'role': 'Maj. Cameron'}, {'actor': 'Hanlon, Dan', 'role': 'Prof. Aronnax'}, {'actor': 'Holubar, Allen', 'role': 'Capt. Nemo'}, {'actor': 'Jansen, Ole', 'role': 'Himself'}, {'actor': 'Johnson, Noble (I)', 'role': 'Himself'}, {'actor': 'Jones, Leviticus', 'role': 'Neb'}, {'actor': 'Moore, Matt (I)', 'role': 'Lt. Bond'}, {'actor': 'Murphy, Martin (III)', 'role': 'Herbert Brown'}, {'actor': 'Welsh, William (I)', 'role': 'Charles Denver'}]",,"['underwater', 'english', 'u-boat', 'submarine', 'based-on-novel', 'captain-nemo', 'revenge', 'india', 'kidnapping', 'sea-monster', 'octopus', 'public-domain', 'giant-monster', 'ocean', 'number-in-title', 'balloon', '1860s', 'suicide']","Paton, Stuart",captain nemo built fantastic submarine mission revenge traveled 20000 league search charles denver man caused death princess daaker seeing done denver took daughter yacht sailed away abandoned sailor mysterious island come back year see still alive nightmare stop daughter found five survivor union army balloon crashed near island sea professor aronnax aboard ship abraham lincoln nemo rammed threw professor daughter two others water prisoner first treated guest view underwater world hunt wave nemo also tell nautilus revenge driven year captain nemo built fantastic submarine mission revenge traveled 20000 league search charles denver man caused death princess daaker seeing done denver took daughter yacht sailed away abandoned sailor mysterious island come back year see still alive nightmare stop daughter found five survivor union army balloon crashed near island sea professor aronnax aboard ship abraham lincoln nemo rammed threw professor daughter two others water prisoner first treated guest view underwater world hunt wave nemo also tell nautilus revenge driven year
566,003696,"20,000 Leagues Under the Sea",1997,"['Romance', 'Adventure', 'Sci-Fi']",English,"['Australia', 'USA']","['Anderson, Michael (I)', 'Hardy, Rod (I)']","['Scott, John (I)', 'Snow, Mark (I)']","[{'actor': 'Akinnuoye-Agbaje, Adewale', 'role': 'Cabe Attucks'}, {'actor': 'Armstrong, Kerry', 'role': 'Lydia Rawlings'}, {'actor': 'Bach, John (I)', 'role': 'Thierry Arronax'}, {'actor': 'Bannister, Duke', 'role': 'Scientist #2'}, {'actor': 'Brody, Joshua (I)', 'role': 'Child'}, {'actor': 'Brown, Bryan (I)', 'role': 'Ned Land'}, {'actor': 'Caine, Michael (I)', 'role': 'Captain Nemo'}, {'actor': 'Carr, Gabriel', 'role': 'Russian Scientist'}, {'actor': 'Chun, Cecily', 'role': 'Imei'}, {'actor': 'Cox, Julie (I)', 'role': 'Sophie'}, {'actor': 'Crenna, Richard', 'role': 'Professor Aronnax'}, {'actor': 'Cross, Ben (I)', 'role': 'Captain Nemo'}, {'actor': 'Day, Gerry (II)', 'role': 'Nitongu'}, {'actor': 'Dempsey, Patrick (I)', 'role': 'Pierre Arronax'}, {'actor': 'Dornan, Jeff', 'role': 'American Scientist'}, {'actor': 'Fellows, Susannah', 'role': 'Mother'}, {'actor': 'Grives, Steven', 'role': 'Garfield'}, {'actor': 'Gross, Paul (I)', 'role': 'Ned'}, {'actor': 'Hammond, Nicholas (I)', 'role': 'Saxon'}, {'actor': 'Harding, Jeff (I)', 'role': 'Captain Farragut'}, {'actor': 'Henry, David (I)', 'role': 'Scotia captain'}, {'actor': 'Jayston, Michael', 'role': 'Admiral John E. Sellings'}, {'actor': 'Kaan, Boe', 'role': 'Ivanda'}, {'actor': 'McCauley, Peter (I)', 'role': 'Admiral McCutcheon'}, {'actor': 'Monk, Damian', 'role': 'Dennison'}, {'actor': 'Pate, Christopher', 'role': 'Conductor'}, {'actor': 'Scheidel, Peter', 'role': 'Austrian Scientist'}, {'actor': 'Senga, Ken', 'role': 'Shimoda'}, {'actor': 'Steele, Peter (II)', 'role': 'British Scientist'}, {'actor': 'Van Dyke, Phillip', 'role': 'Ned Land (as a boy)'}, {'actor': 'Vaughan, James (I)', 'role': 'Father'}, {'actor': 'Williams, Bryon', 'role': 'Himself'}]","['Krasucki, Jason', 'Silliman, Drake']","['hostage', 'underwater', 'cyborg', 'rescue', 'submarine', 'escape', 'male-female-relationship', 'based-on-novel', 'captain-nemo', 'jules-verne', 'two-part-tv-movie', 'atlantis', 'steampunk', 'sea', 'ocean', 'ship-wreck', 'number-in-title', 'father-daughter-relationship', '1860s', 'gadget', 'monster', 'giant-squid']",,year 1886 new england fishing harbour scene creature unknown origin destroying ship sea job professor pierre aronnax marine expert ned land iron willed sailor learn truth monster roaming sea great novelist jules verne described perilous journey darkest depth sea captain nemo aboard nautilus year 1886 new england fishing harbour scene creature unknown origin destroying ship sea job professor pierre aronnax marine expert ned land iron willed sailor learn truth monster roaming sea great novelist jules verne described perilous journey darkest depth sea captain nemo aboard nautilus
567,003700,"20,000 Men a Year",1939,"['Action', 'Drama', 'Romance', 'Adventure']",English,USA,"Green, Alfred E.","Kaylin, Samuel","[{'actor': 'Chandler, George (I)', 'role': 'Soda Jerker'}, {'actor': 'Darwell, Jane', 'role': 'Mrs. Allen'}, {'actor': 'Ernest, George', 'role': 'Skip Rogers'}, {'actor': 'Foster, Preston (I)', 'role': 'Jim Howell'}, {'actor': 'Gargan, Edward', 'role': 'Dunk'}, {'actor': 'Greene, Harrison', 'role': 'Mr. Jones'}, {'actor': 'Healy, Mary (I)', 'role': 'Joan Marshall'}, {'actor': 'Herbert, Holmes', 'role': 'Dean Norris'}, {'actor': 'Jackson, Selmer', 'role': 'C.A.A. Official'}, {'actor': 'Lindsay, Margaret (I)', 'role': 'Ann Rogers'}, {'actor': 'McHugh, Matt', 'role': 'Baseball Fan'}, {'actor': 'Miller, Sidney (I)', 'role': 'Irving Glassman'}, {'actor': 'Morris, Dave (I)', 'role': 'Baseball Fan'}, {'actor': 'Parrish, Imboden', 'role': 'Reporter'}, {'actor': 'Rankin, Arthur', 'role': 'Reporter'}, {'actor': 'Richmond, Kane', 'role': 'Al Williams'}, {'actor': ""Rosenbloom, Max 'Slapsie Maxie'"", 'role': 'Walt Dorgan'}, {'actor': 'Scott, Randolph (I)', 'role': 'Brad Reynolds'}, {'actor': 'Seidel, Tom', 'role': 'Wally Richards'}, {'actor': 'Shaw, Robert (X)', 'role': 'Tommy Howell'}, {'actor': 'Sherwood, Robert E. (II)', 'role': 'Dispatcher'}, {'actor': 'Stanley, Edwin', 'role': 'Chief Pilot Lawson'}, {'actor': 'Stanton, Paul (II)', 'role': 'Gerald Grant'}, {'actor': 'Stevens, Landers', 'role': 'Professor'}, {'actor': 'Stockdale, Carl', 'role': 'Farmer'}, {'actor': 'Tyler, Harry', 'role': 'Joe Hungerford'}, {'actor': 'Wood, Douglas (I)', 'role': 'Crandall'}, {'actor': 'Yung, Victor Sen', 'role': 'Harold Chong'}]","Allen, Fred (II)","['jalopy', 'grounded', 'caa', 'drugstore', 'reckless-flying', 'flying-school', 'college', 'baseball-player', 'plane-crash', 'co-ed', 'baseball-game', 'sister', 'stewardess', 'college-student', 'slang', 'ice-cream-soda', 'aeronautics', 'airline-pilot', 'carbonation', 'rivals-for-love', 'baseball-cap', 'archive-footage', 'jitterbug', 'brother', 'california', 'stock-footage', '1930s', 'soda-jerk', 'usa', 'number-in-title', 'parachute']","['Breslow, Lou', 'Francis, Owen', 'Wead, Frank']",pilot scott disobeys unsafe order loses job start flying school receives boost government launch program hope produce 20000 pilot year pilot scott disobeys unsafe order loses job start flying school receives boost government launch program hope produce 20000 pilot year
